company,quarter,ocf_bn,capex_bn,buybacks_bn
Microsoft,Q1 2024,31.92,10.95,4.21
Amazon,Q1 2024,18.99,14.93,0
Meta,Q1 2024,19.25,6.4,15.01
Google,Q1 2024,28.85,12.01,15.7
Oracle,Q1 2024,6.08,2.8,0.33
Microsoft,Q2 2024,37.2,13.87,4.21
Amazon,Q2 2024,25.28,17.62,0
Meta,Q2 2024,19.37,8.17,6.3
Google,Q2 2024,26.64,13.19,15.68
Oracle,Q2 2024,7.43,2.3,1
Microsoft,Q3 2024,34.18,14.92,4.11
Amazon,Q3 2024,25.97,22.62,0
Meta,Q3 2024,24.72,8.26,8.82
Google,Q3 2024,30.7,13.06,15.29
Oracle,Q3 2024,1.3,3.97,0.2
Microsoft,Q4 2024,22.29,15.8,4.99
Amazon,Q4 2024,45.64,27.83,0
Meta,Q4 2024,27.99,14.43,0
Google,Q4 2024,39.11,14.28,15.55
Oracle,Q4 2024,5.93,5.86,0.15
Microsoft,Q1 2025,37.04,16.75,4.78
Amazon,Q1 2025,17.02,25.02,0
Meta,Q1 2025,24.03,12.94,12.75
Google,Q1 2025,36.15,17.2,15.07
Oracle,Q1 2025,6.16,9.08,0.15
Microsoft,Q2 2025,42.65,17.08,4.55
Amazon,Q2 2025,32.52,32.18,0
Meta,Q2 2025,25.56,16.54,10.17
Google,Q2 2025,27.75,22.45,13.64
Oracle,Q2 2025,8.14,8.5,0.11
Microsoft,Q3 2025,45.06,19.39,5.65
Amazon,Q3 2025,35.53,35.1,0
Meta,Q3 2025,30,18.83,3.33
Google,Q3 2025,48.41,23.95,11.5
Oracle,Q3 2025,2.07,12.03,0.09
Microsoft,Q4 2025,35.76,29.88,7.42
Amazon,Q4 2025,54.46,39.52,0
Meta,Q4 2025,36.21,21.38,0
Google,Q4 2025,52.4,27.85,5.5
Oracle,Q4 2025,7.15,18.64,0
Microsoft,Q1 2026,46.68,30.88,4.63
Amazon,Q1 2026,26.03,44.2,0
Meta,Q1 2026,32.23,19,0
Google,Q1 2026,45.79,35.67,0
Oracle,Q1 2026,14.62,16.49,0
