MICROSOFT,,,,,,,,,,,,,,,
Quarter,Operating Cash Flow,Capital Expenditure,Share Buybacks,,Company,Quarter,Operating Cash Flow,Capital Expenditure,Share Buybacks,,company,quarter,ocf_bn,capex_bn,buybacks_bn
Q1 2024,"31,917,000,000","10,952,000,000","4,213,000,000",,Microsoft,Q1 2024,"31,917,000,000","10,952,000,000","4,213,000,000",,Microsoft,Q1 2024,31.92,10.95,4.21
Q2 2024,"37,195,000,000","13,873,000,000","4,210,000,000",,Amazon,Q1 2024,"18,989,000,000","14,925,000,000",0,,Amazon,Q1 2024,18.99,14.93,0
Q3 2024,"34,180,000,000","14,923,000,000","4,107,000,000",,Meta,Q1 2024,"19,246,000,000","6,400,000,000","15,008,000,000",,Meta,Q1 2024,19.25,6.4,15.01
Q4 2024,"22,291,000,000","15,804,000,000","4,986,000,000",,Google,Q1 2024,"28,848,000,000","12,012,000,000","15,696,000,000",,Google,Q1 2024,28.85,12.01,15.7
Q1 2025,"37,044,000,000","16,745,000,000","4,781,000,000",,Oracle,Q1 2024,"6,081,000,000","2,798,000,000","327,000,000",,Oracle,Q1 2024,6.08,2.8,0.33
Q2 2025,"42,647,000,000","17,079,000,000","4,546,000,000",,Microsoft,Q2 2024,"37,195,000,000","13,873,000,000","4,210,000,000",,Microsoft,Q2 2024,37.2,13.87,4.21
Q3 2025,"45,057,000,000","19,394,000,000","5,650,000,000",,Amazon,Q2 2024,"25,281,000,000","17,620,000,000",0,,Amazon,Q2 2024,25.28,17.62,0
Q4 2025,"35,758,000,000","29,876,000,000","7,415,000,000",,Meta,Q2 2024,"19,370,000,000","8,173,000,000","6,299,000,000",,Meta,Q2 2024,19.37,8.17,6.3
Q1 2026,"46,679,000,000","30,876,000,000","4,627,000,000",,Google,Q2 2024,"19,370,000,000","8,173,000,000","6,299,000,000",,Google,Q2 2024,26.64,13.19,15.68
,,,,,Oracle,Q2 2024,"7,427,000,000","2,303,000,000","1,001,000,000",,Oracle,Q2 2024,7.43,2.3,1
,,,,,Microsoft,Q3 2024,"34,180,000,000","14,923,000,000","4,107,000,000",,Microsoft,Q3 2024,34.18,14.92,4.11
,,,,,Amazon,Q3 2024,"25,971,000,000","22,620,000,000",0,,Amazon,Q3 2024,25.97,22.62,0
AMAZON,,,,,Meta,Q3 2024,"24,724,000,000","8,258,000,000","8,818,000,000",,Meta,Q3 2024,24.72,8.26,8.82
