Revenue,Quarter,NVIDIA's quarterly revenue,NVIDIA's quarterly revenue (billion)
Data centers and AI,Q1 2014,57000000,0.057
Data centers and AI,Q2 2014,83000000,0.083
Data centers and AI,Q3 2014,89000000,0.089
Data centers and AI,Q4 2014,88000000,0.088
Data centers and AI,Q1 2015,88000000,0.088
Data centers and AI,Q2 2015,72000000,0.072
Data centers and AI,Q3 2015,82000000,0.082
Data centers and AI,Q4 2015,97000000,0.097
Data centers and AI,Q1 2016,143000000,0.143
Data centers and AI,Q2 2016,151000000,0.151
Data centers and AI,Q3 2016,240000000,0.24
Data centers and AI,Q4 2016,296000000,0.296
Data centers and AI,Q1 2017,409000000,0.409
Data centers and AI,Q2 2017,416000000,0.416
Data centers and AI,Q3 2017,501000000,0.501
Data centers and AI,Q4 2017,606000000,0.606
Data centers and AI,Q1 2018,701000000,0.701
Data centers and AI,Q2 2018,760000000,0.76
Data centers and AI,Q3 2018,792000000,0.792
Data centers and AI,Q4 2018,679000000,0.679
Data centers and AI,Q1 2019,634000000,0.634
Data centers and AI,Q2 2019,655000000,0.655
Data centers and AI,Q3 2019,726000000,0.726
Data centers and AI,Q4 2019,968000000,0.968
Data centers and AI,Q1 2020,1141000000,1.141
Data centers and AI,Q2 2020,1752000000,1.752
Data centers and AI,Q3 2020,1900000000,1.9
Data centers and AI,Q4 2020,1903000000,1.903
Data centers and AI,Q1 2021,2048000000,2.048
Data centers and AI,Q2 2021,2366000000,2.366
Data centers and AI,Q3 2021,2936000000,2.936
Data centers and AI,Q4 2021,3263000000,3.263
Data centers and AI,Q1 2022,3750000000,3.75
Data centers and AI,Q2 2022,3806000000,3.806
Data centers and AI,Q3 2022,3833000000,3.833
Data centers and AI,Q4 2022,3616000000,3.616
Data centers and AI,Q1 2023,4284000000,4.284
Data centers and AI,Q2 2023,10323000000,10.323
Data centers and AI,Q3 2023,14514000000,14.514
Data centers and AI,Q4 2023,18404000000,18.404
Data centers and AI,Q1 2024,22563000000,22.563
Data centers and AI,Q2 2024,26272000000,26.272
Data centers and AI,Q3 2024,30771000000,30.771
Data centers and AI,Q4 2024,35580000000,35.58
Data centers and AI,Q1 2025,39112000000,39.112
Data centers and AI,Q2 2025,41096000000,41.096
Data centers and AI,Q3 2025,51215000000,51.215
